customer_id,credit_limit,age,debt_ratio,monthly_income,num_open_credit_lines,num_real_estate_loans,num_dependents,weighted_late_score,utilisation_ratio,income_band,dependents_income_ratio,target
1,36691.49,26,0.387719,2268.12,18,2,1,2,1.1e-05,2,0.000441,0
2,10986.02,63,0.151972,5596.63,3,1,3,2,1.4e-05,2,0.000536,0
3,9972.26,56,0.54834,4913.12,12,1,0,2,5.5e-05,2,0.0,0
4,14959.96,45,0.27606,3843.23,17,2,2,1,1.8e-05,2,0.00052,0
5,6445.06,44,0.365312,1998.97,15,1,0,4,5.7e-05,1,0.0,0
6,19524.51,67,0.799792,2923.55,8,1,0,2,4.1e-05,2,0.0,0
7,11530.13,26,0.314863,6236.41,2,1,0,2,2.7e-05,3,0.0,0
8,16547.93,58,0.70466,4810.82,8,3,0,2,4.3e-05,2,0.0,0
9,14228.02,32,0.800289,2420.76,2,2,2,3,5.6e-05,2,0.000826,0
10,11373.68,26,0.282479,3667.43,16,2,1,0,2.5e-05,2,0.000273,0
11,26909.23,49,0.484015,4913.12,3,3,2,3,1.8e-05,2,0.000407,0
12,35251.22,73,0.386184,4913.12,10,1,0,0,1.1e-05,2,0.0,0
13,18556.58,60,0.356408,2624.81,15,3,0,0,1.9e-05,2,0.0,0
14,31722.78,62,0.121703,5728.55,1,3,2,0,4e-06,2,0.000349,0
15,6666.74,60,1.073924,4913.12,5,0,0,4,0.000161,2,0.0,0
16,39013.82,63,0.263497,3335.65,8,2,1,0,7e-06,2,0.0003,0
17,39619.51,49,0.151721,5319.95,0,1,1,0,4e-06,2,0.000188,0
18,46760.87,28,0.598223,2543.09,14,0,1,3,1.3e-05,2,0.000393,0
19,24623.57,66,0.219445,3773.65,10,0,1,0,9e-06,2,0.000265,0
20,87856.15,45,0.40029,4913.12,5,1,0,2,5e-06,2,0.0,1
21,15221.26,48,0.087044,21628.43,10,0,0,0,6e-06,3,0.0,0
22,42406.99,41,0.178078,1758.13,17,1,1,0,4e-06,1,0.000569,0
23,28318.16,31,0.104601,2902.18,5,1,1,0,4e-06,2,0.000345,0
24,68785.26,71,0.085484,9683.36,12,3,1,2,1e-06,3,0.000103,0
25,13772.5,63,0.337692,2313.87,13,0,2,0,2.5e-05,2,0.000864,0
26,7857.42,56,0.541019,4551.95,19,0,0,0,6.9e-05,2,0.0,0
27,23948.31,43,0.19984,14447.31,19,2,1,1,8e-06,3,6.9e-05,0
28,42715.83,65,0.499424,4913.12,11,0,1,0,1.2e-05,2,0.000204,1
29,14323.13,50,0.267684,4913.12,10,3,2,1,1.9e-05,2,0.000407,0
30,47919.6,45,0.22034,2269.73,17,0,3,3,5e-06,2,0.001322,0
31,7030.11,45,0.055856,7418.8,15,0,0,0,8e-06,3,0.0,0
32,58695.34,34,0.304163,1680.19,19,0,1,0,5e-06,1,0.000595,0
33,25598.41,26,0.308354,4913.12,14,1,0,0,1.2e-05,2,0.0,0
34,80579.89,51,0.04219,2256.2,15,1,1,1,1e-06,2,0.000443,0
35,23071.71,69,0.271991,4053.08,14,2,3,2,1.2e-05,2,0.00074,0
36,50621.6,25,0.276061,14963.34,10,1,2,0,5e-06,3,0.000134,0
37,20977.64,67,0.71655,6195.82,10,1,1,5,3.4e-05,3,0.000161,0
38,12892.31,65,0.612579,5671.5,3,3,2,2,4.8e-05,2,0.000353,0
39,30970.29,36,0.708286,5868.62,1,0,1,1,2.3e-05,2,0.00017,0
40,14106.87,55,0.210982,4847.34,14,2,0,3,1.5e-05,2,0.0,0
41,42875.65,30,0.142743,10618.37,6,3,0,3,3e-06,3,0.0,0
42,10207.78,62,0.717952,7818.6,17,1,1,1,7e-05,3,0.000128,0
43,33070.81,59,0.173062,4913.12,10,2,0,2,5e-06,2,0.0,0
44,38183.79,40,0.307965,4913.12,15,0,1,1,8e-06,2,0.000204,0
45,7657.33,25,0.208247,5659.89,12,1,1,0,2.7e-05,2,0.000177,0
46,14258.65,73,1.264264,6457.17,3,3,0,2,8.9e-05,3,0.0,0
47,25212.45,45,0.24474,1472.23,17,1,2,0,1e-05,1,0.001358,0
48,2697.86,69,0.987138,4917.0,2,3,1,5,0.000366,2,0.000203,0
49,26961.35,57,0.080039,4521.66,6,1,1,3,3e-06,2,0.000221,0
50,74662.65,63,0.218394,3242.85,15,2,0,0,3e-06,2,0.0,0
51,128708.33,62,0.403493,9357.02,1,3,3,0,3e-06,3,0.000321,0
52,50855.34,32,0.030997,1841.92,11,2,1,0,1e-06,1,0.000543,0
53,10847.1,41,0.349622,30218.37,11,2,1,1,3.2e-05,3,3.3e-05,0
54,46648.03,46,0.535036,2513.36,3,3,1,1,1.1e-05,2,0.000398,0
55,46084.95,48,0.074957,6516.47,18,2,1,0,2e-06,3,0.000153,0
56,7668.41,24,0.356203,5589.31,4,2,0,2,4.6e-05,2,0.0,0
57,44482.32,50,0.050081,9906.78,14,3,0,0,1e-06,3,0.0,0
58,13126.78,30,0.103554,13396.14,3,1,3,1,8e-06,3,0.000224,0
59,13020.43,61,0.510108,3785.39,8,1,1,1,3.9e-05,2,0.000264,0
60,22833.89,58,0.308172,5461.6,1,3,2,4,1.3e-05,2,0.000366,0
61,61289.6,70,0.159917,3803.61,1,1,0,1,3e-06,2,0.0,0
62,11146.38,61,0.582869,2751.43,5,0,3,3,5.2e-05,2,0.00109,1
63,11388.41,41,0.250943,5016.41,19,1,1,6,2.2e-05,2,0.000199,0
64,26006.87,73,0.211958,4835.36,3,2,2,5,8e-06,2,0.000414,1
65,56047.58,43,0.167167,4947.74,0,2,0,1,3e-06,2,0.0,0
66,40539.58,39,0.337984,3916.75,10,1,4,0,8e-06,2,0.001021,0
